D,m,k,B,seed,method,overall_sign,band_sign,band_spearman
8,2,1,512,4,adaptive,0.94,0.6848287112561174,0.4842712077425289
8,2,3,256,0,sobol,0.82935,0.5642778993435449,0.22079552388376117
8,2,3,256,0,random,0.81485,0.5536105032822757,0.22047976955632873
8,2,3,256,0,adaptive,0.81615,0.5437636761487965,0.21375815930858902
8,2,3,256,1,sobol,0.8089,0.5898123324396782,0.27458451439452897
8,2,3,256,1,random,0.7543,0.574138997731491,0.21503829765270252
8,2,3,256,1,adaptive,0.8151,0.5774386471437409,0.33163182547980136
8,2,3,256,2,sobol,0.8643,0.5927263969171483,0.33978689211462293
8,2,3,256,2,random,0.8052,0.5484104046242775,0.2347326599817968
8,2,3,256,2,adaptive,0.83435,0.5626204238921002,0.3005154625249756
8,2,3,256,3,sobol,0.8256,0.5853156450137237,0.2747023006851073
8,2,3,256,3,random,0.8517,0.6052150045745655,0.34814889591795495
8,2,3,256,3,adaptive,0.7934,0.5450594693504117,0.20745293124296435
8,2,3,256,4,sobol,0.84215,0.5766806722689075,0.2599939918991678
8,2,3,256,4,random,0.8237,0.5688025210084033,0.2191767160729003
8,2,3,256,4,adaptive,0.8147,0.5443802521008403,0.22136157813967536
8,2,3,512,0,sobol,0.9448,0.7286652078774617,0.6297877001104488
8,2,3,512,0,random,0.9291,0.6950218818380745,0.5360000875971902
8,2,3,512,0,adaptive,0.94925,0.7442560175054704,0.6499078018207274
8,2,3,512,2,sobol,0.92945,0.7105009633911368,0.5721525403696763
8,2,3,512,2,random,0.90785,0.6734104046242775,0.47456285477997384
8,2,3,512,2,adaptive,0.9421,0.7463872832369942,0.6499750688280902
8,2,3,512,1,sobol,0.88275,0.6603423386265209,0.4288694752811839
8,2,3,512,1,random,0.89815,0.6939575170138172,0.486560931811631
8,2,3,512,1,adaptive,0.87875,0.6508558465663024,0.4372312907687007
32,2,1,64,1,sobol,0.72385,0.4879919946631087,0.025235699004429117
32,2,1,64,1,random,0.7093,0.48198799199466313,0.008418258006679852
32,2,1,64,1,adaptive,0.71385,0.4986657771847899,0.03676648916078292
32,2,1,64,0,sobol,0.72845,0.5124740124740125,0.04395772122958896
32,2,1,64,0,random,0.7075,0.4840609840609841,-0.00022073454018124413
32,2,1,64,0,adaptive,0.7045,0.4972279972279972,0.02843394641312637
8,2,3,512,3,sobol,0.9182,0.6969350411710887,0.5268646217489166
8,2,3,512,3,random,0.9058,0.6784080512351327,0.4720961434927062
8,2,3,512,3,adaptive,0.9223,0.6923604757548033,0.556225141163786
32,2,1,64,3,sobol,0.6615,0.4870601919162547,-8.996587076795734e-05
32,2,1,64,3,random,0.6715,0.4902587961616749,-0.0012086004899997016
32,2,1,64,3,adaptive,0.69515,0.4821168944460599,0.007750199593381702
32,2,1,64,2,sobol,0.70975,0.4913678618857902,0.01097942046437762
32,2,1,64,2,random,0.71095,0.50265604249668,0.018115032724977696
32,2,1,64,2,adaptive,0.74245,0.4956839309428951,0.02928431331909665
32,2,1,64,4,sobol,0.7116,0.48001249219237974,0.009697318278844009
