seed,teacher,normals_only,uniform_shell,score,variation_FD,combined_FD,variation_K2,combined_K2,lam0.0,lam0.25,lam0.5,lam0.75,lam1.0
2,ae,0.15171113484453935,0.6774688538754154,0.6544036096144384,0.541250357001428,0.6537260389041556,0.46088171552686213,0.6393041892167568,0.8124528818115272,0.6031472765891064,0.6537260389041556,0.7266366985467941,0.7201778887115547
2,ae_kde_max,0.05140595639981788,0.1400265117390373,0.11768375528064494,0.20592243028730228,0.043590346291081,0.05010210581600175,0.0689687756929906,0.13039778301320457,0.02199367739837913,0.043590346291081,0.20803613297956547,0.13115871598241932
3,knn,0.5212470508359099,0.9750197910961328,0.9590659058793228,0.9462459078305278,0.9737379928922291,0.9713748454545947,0.9734308394056062,0.9684045910785624,0.9691176345296931,0.9737379928922291,0.9753347686206242,0.9484080302952013
3,kde,0.2279238243509946,0.9401266364962575,0.9371639387907374,0.971123356587872,0.9440292492724652,0.9704246071290229,0.9515064507733654,0.9626406352059808,0.9657773409364611,0.9440292492724652,0.9423630229587182,0.9350550741045168
3,ocsvm,-0.01684259537038148,0.8851801807207228,0.8753619334477337,0.875439885759543,0.8860684722738891,0.8652872691490765,0.8884192336769346,0.8729552998211991,0.8928568514274057,0.8860684722738891,0.8927046908187631,0.8652871731486925
3,ae,0.04563944765313736,0.802587469611978,0.8649867607067253,0.8293758974086114,0.8550690567978847,0.8324677818503543,0.8607990318553044,0.8246581504243975,0.8109632153159787,0.8550690567978847,0.8188467670393907,0.8471124967806873
3,ae_kde_max,0.0646066672067948,0.04517259444969747,0.12920569913572175,0.11892556101441744,0.12768271571034334,0.04851022891500706,0.13210964981813614,0.07427801917276738,0.10105086650720205,0.12768271571034334,0.15040428460808455,0.06346264807292516
4,knn,0.39982191928767713,0.9656448225792902,0.9585779463117851,0.954623306493226,0.9724207216828866,0.9732848211392845,0.961319717278869,0.9632028608114431,0.9718458713834854,0.9724207216828866,0.9743997695990781,0.9702626330505322
4,kde,-0.12367254015851169,0.946267382608573,0.9432877014092617,0.964607323787033,0.9518848430150393,0.9630247533112759,0.9549784591955573,0.9644783462827538,0.9549497328289158,0.9518848430150393,0.9453780298251157,0.9483272377841382
4,ocsvm,0.10593440773763094,0.546687146748587,0.767752991011964,0.510435865743463,0.5623499933999735,0.6110818043272173,0.6193112452449809,0.5610915243660974,0.6146077064308257,0.5623499933999735,0.6166366745466981,0.7782925851703406
4,ae,0.5483064812259248,0.9577748070992285,0.9556839187356747,0.9576015264061055,0.9626826347305388,0.9544616418465672,0.948321073284293,0.9535533822135288,0.9542068568274273,0.9626826347305388,0.9578373033492132,0.952626978507914
4,ae_kde_max,0.0917809618570844,0.17538077087148027,0.152865490853214,0.02172678533783629,0.07860594901999411,0.01311218673970585,0.05776470386171764,0.14522496834709578,0.10999618477771306,0.07860594901999411,0.15084455454484214,0.1699091066378926
5,knn,0.09207111038151065,0.9729924454879969,0.9764527801598158,0.9732275984850456,0.971464887011149,0.9755774484484095,0.9715459593548957,0.9736418402414306,0.9794598969099911,0.971464887011149,0.9822400686979196,0.9752164389177291
5,kde,0.3051273045484207,0.9475896163342691,0.9623980549662584,0.9562935745768911,0.9516713512806662,0.9620381139520718,0.9328247282576824,0.9517561450772773,0.9504315544540244,0.9516713512806662,0.9633292485195193,0.9502278378383563
5,ocsvm,0.20863494653978615,0.9068509234036937,0.8974639098556393,0.8231131484525936,0.8985396901587605,0.5201357445429782,0.8920312481249923,0.5724716018864076,0.8641283525134099,0.8985396901587605,0.820001392005568,0.8903511454045815
5,ae,0.6000827523310093,0.9059667598670395,0.9275855663422652,0.913688166752667,0.9190263641054562,0.9137992391969566,0.8850859083436333,0.9195915183660734,0.9164649778599114,0.9190263641054562,0.919634718538874,0.890259849039396
5,ae_kde_max,0.10859730997558403,0.27650451240124535,0.2057057897371821,0.08671849028532423,0.19404424487601205,-0.011469257650599146,0.23307722615140392,0.1675892805176748,0.09943655682823488,0.19404424487601205,0.24039604238758985,0.27571499751327544
6,knn,0.34900296401185604,0.9196949107796432,0.9196544946179783,0.9206478105912423,0.9094427417709671,0.9287994911979647,0.8754748298993196,0.9264811779247117,0.9069409717638871,0.9094427417709671,0.8960158400633603,0.8677534230136921
6,kde,0.049634453485245825,0.9401527082545319,0.9356103410030263,0.9329010103628202,0.9436225561270996,0.9473257816053064,0.9409014174056539,0.921085537072315,0.9422121144232549,0.9436225561270996,0.9439026860543948,0.9435575636799511
6,ocsvm,0.07133222132888531,0.47608251233004933,0.5405174900699603,0.4283585134340537,0.5134551738206952,0.3024570818283273,0.5319028956115824,0.41889633158532635,0.48662220248880994,0.5134551738206952,0.5809893319573278,0.5319819039276157
6,ae,0.357250837003348,0.6971861807447229,0.7856479425917704,0.9287100188400752,0.6927414589658359,0.9277965751863007,0.6972932211728847,0.8852525650102601,0.6725463381853527,0.6927414589658359,0.7081432805731223,0.7665290821163283
6,ae_kde_max,0.23194730575403816,0.26469231680464983,0.27828801086774024,0.012859003539012835,0.09967907854489208,-0.0026295090238498933,0.10447603773326361,-0.013993642478602183,0.08696202747674968,0.09967907854489208,0.23351689705098047,0.21943355345071017
7,knn,0.265000516002064,0.9603999375997503,0.970741098964396,0.9683662414649657,0.9682828171312684,0.9684584018336072,0.9651521486085946,0.9669467797871191,0.9540536402145607,0.9682828171312684,0.9666567626270506,0.9651575246300986
7,kde,-0.225296474128103,0.9544498118832536,0.9540103824226221,0.9675166044348916,0.9551131281799212,0.9686079496707459,0.9517682637008282,0.967727101722337,0.9578750136538912,0.9551131281799212,0.9561755597528769,0.9557209457679378
7,ocsvm,0.12047145788583155,0.7945824103296413,0.6863846975387901,0.7163664814659257,0.5798577754311017,0.5041803847215389,0.8141609206436825,0.7526558746234985,0.7857662150648602,0.5798577754311017,0.9099576878307514,0.8745558182232729
7,ae,0.3336968547874191,0.8611841167364669,0.8324856659426638,0.776748898995596,0.7966594746378984,0.7706383785535141,0.8042023208092832,0.7581690806763226,0.7888189312757251,0.7966594746378984,0.8279685598742396,0.8488425953703815
7,ae_kde_max,0.022520891562544144,0.09317765082169369,0.09139094161957989,-0.0177632038633223,0.020915499225679916,0.12184326232453944,0.02159843156606699,-0.009518996165338073,0.006615141116041331,0.020915499225679916,0.04473680314436893,0.07821190716507928
8,knn,0.25466993912807184,0.9674438666500822,0.9731832501585972,0.9645877589514652,0.9706140876353074,0.9719727812005161,0.9712620902895264,0.9688428803804425,0.9705826955067253,0.9706140876353074,0.9719053889244774,0.9716760439850808
8,kde,0.3297715585892465,0.9700282808536103,0.965877991624313,0.9602194680730953,0.9455195212104741,0.9684781137320241,0.968248541271469,0.968624782354708,0.9696619459134117,0.9455195212104741,0.9521793346179291,0.9652239938313618
8,ocsvm,-0.15613732854931417,0.46622845691382764,0.6474712298849195,0.9048720674882699,0.8936758307033228,0.9106351625406501,0.4638981435925743,0.8923643694574779,0.8961032964131855,0.8936758307033228,0.48459438637754554,0.5441164484657939
8,ae,0.5903391933567734,0.935813567254269,0.9312205248820995,0.9338348073392293,0.940678386713547,0.9400977763911055,0.9560296161184644,0.9286056664226655,0.9156113424453697,0.940678386713547,0.9318088152352609,0.9174738458953835
8,ae_kde_max,0.2020451326728925,0.23416203512695036,0.2539519746167898,0.02177228418503668,0.20487948565925068,-0.019677797580282926,0.11569910497197593,-0.015016747464762675,0.09348581934983977,0.20487948565925068,0.22224986211735678,0.26913734027809055
9,knn,0.5471798207192828,0.9816381025524102,0.9812103248412992,0.983623390493562,0.9776314305257221,0.9810373321493284,0.9810597002388008,0.9795602702410809,0.9820546482185929,0.9776314305257221,0.9765915543662174,0.9818851115404462
9,kde,0.4640087807653912,0.9632686418482086,0.9630883062203711,0.9739632006957641,0.9737225119725749,0.9743634319340042,0.9731166653127609,0.9735745962328878,0.9580226022090798,0.9737225119725749,0.9532134591578849,0.9655287711935638
9,ocsvm,0.17920900483601934,0.6735488701954807,0.5041699206796827,0.8078957435829742,0.6661962007848031,0.7541441685766742,0.6356991827967311,0.6694768219072876,0.6116957267829071,0.6661962007848031,0.4412560690242761,0.4584715298861195
9,ae,0.5733042749764027,0.9706927860677712,0.956625081459328,0.957576733288775,0.9463258720153092,0.9480728870452976,0.9542651039627784,0.9556129493865085,0.9724921213082963,0.9463258720153092,0.959824102332188,0.9540909592620204
9,ae_kde_max,0.16363516268904427,0.22000308147881523,0.2414068910799878,-0.03703690224868417,0.14276364231739141,0.051838018871294966,0.06807097240517102,0.018651888903423702,0.07827835338541163,0.14276364231739141,0.15982061271466494,0.24012237987246812
