D,m,k,B,seed,method,overall_sign,band_sign,band_spearman
8,2,1,256,2,sobol,0.87805,0.564437194127243,0.20034651732146092
8,2,1,256,2,random,0.8436,0.5370309951060359,0.16059035541014138
8,2,1,256,2,adaptive,0.8894,0.5807504078303426,0.26496681198354594
8,2,1,256,3,sobol,0.8729,0.5567678145243777,0.21777633488532003
8,2,1,256,3,random,0.87385,0.5785884759631776,0.24458050752400995
8,2,1,256,3,adaptive,0.8853,0.5676781452437777,0.24307430287733472
8,2,1,256,5,sobol,0.87125,0.5638680169879124,0.2053308017979352
8,2,1,256,5,random,0.8619,0.5534139170205815,0.1688845676016062
8,2,1,256,5,adaptive,0.85835,0.5269519764782751,0.18955030452569377
8,2,1,256,4,sobol,0.8484,0.5497553017944535,0.13411211321195105
8,2,1,256,4,random,0.82465,0.5579119086460033,0.15509908643819423
8,2,1,256,4,adaptive,0.86805,0.5624796084828712,0.2021544531335873
8,2,1,256,6,sobol,0.86255,0.5453938584779706,0.16161735198759528
8,2,1,256,6,random,0.85945,0.5534045393858478,0.19316595728060318
8,2,1,256,6,adaptive,0.88105,0.5534045393858478,0.21828491532515376
8,2,1,256,7,sobol,0.88325,0.6000656167979003,0.2811831389197013
8,2,1,256,7,random,0.86265,0.5787401574803149,0.23263142199321113
8,2,1,256,7,adaptive,0.8843,0.5856299212598425,0.30426946586091574
8,2,1,512,1,sobol,0.92815,0.6675951717734447,0.46638846805935896
8,2,1,512,1,random,0.92475,0.6583101207056639,0.43794768537022566
8,2,1,512,1,adaptive,0.96195,0.780563293098112,0.7008230311332833
8,2,1,512,0,sobol,0.9542,0.7452046035805626,0.6388210815577009
8,2,1,512,0,random,0.93285,0.6774296675191815,0.4940236004300995
8,2,1,512,0,adaptive,0.9469,0.7042838874680307,0.554569128889706
8,2,1,512,3,sobol,0.952,0.7245141493351517,0.5551409050203867
8,2,1,512,3,random,0.9301,0.6641663825434708,0.45101660458484827
8,2,1,512,3,adaptive,0.9569,0.7374701670644391,0.6214489590793264
8,2,1,512,2,sobol,0.9296,0.668515497553018,0.45677963551666356
8,2,1,512,2,random,0.938,0.6812398042414356,0.49158407612358507
8,2,1,512,2,adaptive,0.9374,0.6773246329526916,0.4861576022332332
8,2,1,512,7,sobol,0.95095,0.719488188976378,0.5824304378548781
8,2,1,512,7,random,0.95255,0.7270341207349081,0.5941774823121154
8,2,1,512,7,adaptive,0.9572,0.7349081364829396,0.6338100763283293
8,2,1,512,4,sobol,0.9343,0.6760195758564437,0.4811868298278661
8,2,1,512,4,random,0.90385,0.6264274061990212,0.3057857925247584
8,2,1,512,4,adaptive,0.94,0.6848287112561174,0.4842712077425289
8,2,1,512,5,sobol,0.92465,0.6419470761189154,0.40752261969923165
8,2,1,512,5,random,0.93695,0.6880104540999673,0.4886271471385725
8,2,1,512,5,adaptive,0.92555,0.6520744854622672,0.4293882238684602
8,2,1,512,6,sobol,0.94615,0.7036048064085447,0.5332798623953665
8,2,1,512,6,random,0.9402,0.6822429906542056,0.4905774226542486
8,2,1,512,6,adaptive,0.9586,0.7493324432576769,0.6481921762529631
8,2,1,1024,0,sobol,0.991,0.9424552429667519,0.973288576896709
8,2,1,1024,0,random,0.98945,0.9325447570332481,0.9623087597152997
8,2,1,1024,0,adaptive,0.9875,0.920076726342711,0.9406615686835924
8,2,1,1024,1,sobol,0.9881,0.9263385948622718,0.9534065557503948
8,2,1,1024,1,random,0.9872,0.9207675642216032,0.9557911019764327
8,2,1,1024,1,adaptive,0.992,0.950479727638502,0.9794581917400758
8,2,1,1024,2,sobol,0.98405,0.8959216965742252,0.9636265708645904
8,2,1,1024,2,random,0.9869,0.9145187601957586,0.942208285163441
8,2,1,1024,2,adaptive,0.98755,0.9187601957585645,0.9666600802725175
8,2,1,1024,3,sobol,0.99335,0.954653937947494,0.9772596672634987
8,2,1,1024,3,random,0.9816,0.876235935901807,0.8759035727112979
8,2,1,1024,3,adaptive,0.9925,0.9488578247528128,0.9734461584477428
8,2,1,1024,6,sobol,0.9871,0.9138851802403204,0.9599298266953082
8,2,1,1024,6,random,0.9845,0.8965287049399199,0.9329350507263854
8,2,1,1024,6,adaptive,0.9907,0.937917222963952,0.9729887216633041
8,2,1,1024,5,sobol,0.99015,0.9356419470761189,0.9621539955778756
8,2,1,1024,5,random,0.97975,0.8676902972884678,0.9144689336404404
8,2,1,1024,5,adaptive,0.98915,0.9291081345965371,0.967101470502777
8,2,1,1024,7,sobol,0.98715,0.9156824146981627,0.9506799597267994
8,2,1,1024,7,random,0.98525,0.9035433070866141,0.9235758159048576
8,2,1,1024,7,adaptive,0.9896,0.931758530183727,0.9618505373905313
8,2,1,1024,4,sobol,0.9899,0.934094616639478,0.9625224063611008
8,2,1,1024,4,random,0.98085,0.8760195758564437,0.8957212015740098
8,2,1,1024,4,adaptive,0.98225,0.8841761827079935,0.8897134486361155
8,2,1,2048,0,sobol,0.9958,0.9731457800511509,0.9945181946454666
8,2,1,2048,0,random,0.98855,0.9267902813299232,0.989753859945203
8,2,1,2048,0,adaptive,0.9962,0.9757033248081841,0.9952684358266247
8,2,1,2048,1,sobol,0.9901,0.9387186629526463,0.9779820225267869
8,2,1,2048,1,random,0.9934,0.9591457753017641,0.9839518694920797
8,2,1,2048,1,adaptive,0.99065,0.9421231816774992,0.99210450002933
8,2,1,2048,3,sobol,0.997,0.9795431299011251,0.9953527971222474
8,2,1,2048,3,random,0.9942,0.9604500511421753,0.9856961150895808
8,2,1,2048,3,adaptive,0.99005,0.9321513808387317,0.9946672402559888
8,2,1,2048,2,sobol,0.9927,0.9523654159869495,0.982677088364626
8,2,1,2048,2,random,0.9907,0.9393148450244698,0.9920417639042302
8,2,1,2048,2,adaptive,0.9958,0.9725938009787928,0.9932732097001679
8,2,1,2048,4,sobol,0.995,0.967373572593801,0.9933225257622257
8,2,1,2048,4,random,0.99325,0.9559543230016313,0.9843663098783435
8,2,1,2048,4,adaptive,0.99435,0.9631321370309951,0.9921430358094433
8,2,1,2048,6,sobol,0.99365,0.9576101468624834,0.9881412004826419
8,2,1,2048,6,random,0.9947,0.9646194926568759,0.9942660354062538
8,2,1,2048,6,adaptive,0.994,0.9599465954606141,0.9977005595747114
8,2,1,2048,5,sobol,0.99405,0.9611238157464881,0.9933680489557369
8,2,1,2048,5,random,0.994,0.960797125122509,0.9885128512349404
8,2,1,2048,5,adaptive,0.99585,0.9728846782097353,0.9934209058008311
8,2,1,2048,7,sobol,0.9947,0.9652230971128609,0.9910515818754209
8,2,1,2048,7,random,0.99385,0.9596456692913385,0.981610830063355
8,2,1,2048,7,adaptive,0.998,0.9868766404199475,0.9971565402805262
