dataset,d,seed,sampler,score_fid,attr_cosine,attr_top1,attr_top3_jac,attr_rank,decision_f1
28_pendigits,16,2,disagreement_shell,-0.15858450158840542,0.9174709816570998,0.02564102564102564,0.07115384615384616,-0.2137820512820513,0.3877551020408163
28_pendigits,16,2,shell_box_mix,0.4985380348026741,0.9356620083985637,0.057692307692307696,0.1544871794871795,0.08412518853695325,0.33604336043360433
47_yeast,8,7,normals_only,0.714977120724034,0.9203478561891152,0.46942800788954636,0.5637080867850098,0.5444554868202387,0.42718446601941745
47_yeast,8,7,uniform_shell,0.7796427619399711,0.9166625235736807,0.3905325443786982,0.49053254437869825,0.4409692871231334,0.48148148148148145
47_yeast,8,7,disagreement_shell,0.7404004414256926,0.91274223919741,0.3629191321499014,0.4767258382642998,0.4093171785479478,0.4444444444444444
47_yeast,8,7,shell_box_mix,0.7587826816380632,0.9064864427036475,0.3609467455621302,0.42169625246548326,0.34704611627688553,0.44642857142857145
28_pendigits,16,0,normals_only,0.30067487474514387,0.9181420685786642,0.14102564102564102,0.14679487179487177,-0.005166620313179595,0.3215258855585831
28_pendigits,16,0,uniform_shell,0.2767302555673215,0.9417639585713777,0.03205128205128205,0.15705128205128205,0.14854826546003017,0.6235565819861432
28_pendigits,16,0,disagreement_shell,0.19891893600543692,0.9347645925107337,0.16666666666666666,0.1487179487179487,0.0715497737556561,0.42408376963350786
28_pendigits,16,0,shell_box_mix,0.5550188870098465,0.9402853612366996,0.08333333333333333,0.18397435897435896,0.09424962292609351,0.5480769230769231
47_yeast,8,6,normals_only,0.8707026946395874,0.9391633533551325,0.5680473372781065,0.5970414201183432,0.6431619700812432,0.4782608695652174
47_yeast,8,6,uniform_shell,0.8313353311360266,0.9214660586405492,0.4891518737672584,0.5370808678500987,0.5292101061331831,0.4691358024691358
47_yeast,8,6,disagreement_shell,0.8009459253526502,0.9197960921434051,0.4260355029585799,0.5059171597633136,0.5094862402554711,0.4444444444444444
47_yeast,8,6,shell_box_mix,0.8047020031279164,0.9181123620457426,0.4378698224852071,0.5096646942800789,0.4757678219216681,0.4691358024691358
38_thyroid,6,2,normals_only,0.4855868222374742,0.9199682795318429,0.3010752688172043,0.47096774193548385,0.31906444665772293,0.5373134328358209
38_thyroid,6,2,uniform_shell,0.16894452567813553,0.8972566047733389,0.24731182795698925,0.46344086021505376,0.2497695852534563,0.54
38_thyroid,6,2,disagreement_shell,0.11870729014353494,0.8946231251167022,0.23655913978494625,0.46774193548387105,0.28420058087996447,0.5507246376811594
38_thyroid,6,2,shell_box_mix,0.6964727999761272,0.9570085104760279,0.45161290322580644,0.5419354838709678,0.45499231950844865,0.6188340807174888
26_optdigits,64,6,normals_only,0.42729081363242793,0.8965092054606005,0.04,0.10333333333333333,0.23812545787545786,0.5045045045045045
26_optdigits,64,6,uniform_shell,0.254433703793917,0.8947490619384336,0.02,0.1,0.21480792139523616,0.32124352331606215
26_optdigits,64,6,disagreement_shell,0.2918590531119933,0.8633826681150022,0.006666666666666667,0.04133333333333333,0.01712118437118437,0.45038167938931295
26_optdigits,64,6,shell_box_mix,0.3348528677062794,0.8820294345613221,0.04,0.051333333333333335,0.043465811965811965,0.3923444976076555
47_yeast,8,8,normals_only,0.799998987133371,0.9391267914840282,0.52465483234714,0.6203155818540433,0.6508745563374077,0.36666666666666664
47_yeast,8,8,uniform_shell,0.8532170255514023,0.9297496899263484,0.504930966469428,0.5495069033530573,0.5524091293322062,0.37037037037037035
47_yeast,8,8,disagreement_shell,0.8701957088524083,0.9195901227409488,0.398422090729783,0.4627218934911243,0.43744716821639906,0.5040650406504065
47_yeast,8,8,shell_box_mix,0.8211982856771911,0.9163629923343373,0.3865877712031558,0.4420118343195267,0.4099746407438716,0.4672897196261682
47_yeast,8,9,normals_only,0.799505352769937,0.905509476010017,0.4556213017751479,0.5001972386587772,0.47636062384850886,0.34710743801652894
