d,seed,cond,metric,value
10,1,S3_langevin,auroc_student_boundary,0.804492
10,1,S3_langevin,rmse_score_boundary,0.38424973473684393
10,1,S3_langevin,spearman_boundary,0.2874053736214945
10,1,S3_langevin,auroc_teacher_close,1.0
10,1,S3_langevin,auroc_student_close,0.931948
10,1,S3_langevin,rmse_score_close,0.5348448942713964
10,1,S3_langevin,spearman_close,0.2229582998331993
10,1,S3_langevin,auroc_teacher_medium,1.0
10,1,S3_langevin,auroc_student_medium,0.986072
10,1,S3_langevin,rmse_score_medium,0.7359447072974901
10,1,S3_langevin,spearman_medium,0.10637092148368593
10,1,S3_langevin,auroc_teacher_far,1.0
10,1,S3_langevin,auroc_student_far,0.9400919999999999
10,1,S3_langevin,rmse_score_far,6.966507248860296
10,1,S3_langevin,spearman_far,-0.10384611138444552
10,1,S3_langevin,rmse_score_normals,0.22682870107335656
10,1,S4_mixed,auroc_teacher_boundary,0.993588
10,1,S4_mixed,auroc_student_boundary,0.547612
10,1,S4_mixed,rmse_score_boundary,0.12700492513674236
10,1,S4_mixed,spearman_boundary,0.1693059892239569
10,1,S4_mixed,auroc_teacher_close,1.0
10,1,S4_mixed,auroc_student_close,0.68388
10,1,S4_mixed,rmse_score_close,0.28380797565833665
10,1,S4_mixed,spearman_close,0.15476269905079618
10,1,S4_mixed,auroc_teacher_medium,1.0
10,1,S4_mixed,auroc_student_medium,0.792068
10,1,S4_mixed,rmse_score_medium,1.2191787527177294
10,1,S4_mixed,spearman_medium,0.1763567374269497
10,1,S4_mixed,auroc_teacher_far,1.0
10,1,S4_mixed,auroc_student_far,0.9080159999999999
10,1,S4_mixed,rmse_score_far,5.038038649574041
10,1,S4_mixed,spearman_far,0.09722006888027553
10,1,S4_mixed,rmse_score_normals,0.5533195546651082
10,1,S5_adaptive,auroc_teacher_boundary,0.993588
10,1,S5_adaptive,auroc_student_boundary,0.6442080000000001
10,1,S5_adaptive,rmse_score_boundary,0.21858030933686598
10,1,S5_adaptive,spearman_boundary,0.2437344149376597
10,1,S5_adaptive,auroc_teacher_close,1.0
10,1,S5_adaptive,auroc_student_close,0.8301559999999999
10,1,S5_adaptive,rmse_score_close,0.42773879589345587
10,1,S5_adaptive,spearman_close,0.27115884463537854
10,1,S5_adaptive,auroc_teacher_medium,1.0
10,1,S5_adaptive,auroc_student_medium,0.9478319999999999
10,1,S5_adaptive,rmse_score_medium,1.1715740586182515
10,1,S5_adaptive,spearman_medium,0.2786347785391141
10,1,S5_adaptive,auroc_teacher_far,1.0
10,1,S5_adaptive,auroc_student_far,0.982936
10,1,S5_adaptive,rmse_score_far,3.5348538285061823
10,1,S5_adaptive,spearman_far,0.18391139164556658
10,1,S5_adaptive,rmse_score_normals,0.3335013203105815
10,2,S0_none,auroc_teacher_boundary,0.993588
10,2,S0_none,auroc_student_boundary,0.6203239999999999
10,2,S0_none,rmse_score_boundary,0.502121070875815
10,2,S0_none,spearman_boundary,0.19272979491917966
10,2,S0_none,auroc_teacher_close,1.0
10,2,S0_none,auroc_student_close,0.7302440000000001
