dataset,teacher,d,seed,sampler,teacher_auroc,coverage,coverage_wide,radiality,fid,student_auroc,topk
20_letter,ocsvm,32,0,gaussian_jitter,0.5972599999999999,1.0,1.0,0.4766036603660366,0.2234143414341434,0.6584,0.49
20_letter,ocsvm,32,0,uniform_box,0.5972599999999999,1.0,1.0,0.4766036603660366,0.3742574257425742,0.57168,0.51
20_letter,ocsvm,32,0,uniform_shell,0.5972599999999999,1.0,1.0,0.4766036603660366,0.26135013501350135,0.59082,0.39
20_letter,ocsvm,32,0,wide_shell,0.5972599999999999,1.0,1.0,0.4766036603660366,0.4138733873387338,0.58512,0.42
20_letter,ocsvm,32,0,multiscale_shell,0.5972599999999999,1.0,1.0,0.4766036603660366,0.4803480348034803,0.52212,0.52
20_letter,ocsvm,32,0,shell_box_mix,0.5972599999999999,1.0,1.0,0.4766036603660366,0.3307050705070506,0.63676,0.49
20_letter,iforest,32,1,normals_only,0.6478400000000001,1.0,1.0,0.5361176117611761,0.3475427542754275,0.56136,0.58
20_letter,iforest,32,1,gaussian_jitter,0.6478400000000001,1.0,1.0,0.5361176117611761,0.4921572157215721,0.55638,0.55
20_letter,iforest,32,1,uniform_box,0.6478400000000001,1.0,1.0,0.5361176117611761,0.585958595859586,0.5657,0.66
20_letter,iforest,32,1,uniform_shell,0.6478400000000001,1.0,1.0,0.5361176117611761,0.5619201920192018,0.6555799999999999,0.51
20_letter,iforest,32,1,wide_shell,0.6478400000000001,1.0,1.0,0.5361176117611761,0.5149954995499549,0.57072,0.53
20_letter,iforest,32,1,multiscale_shell,0.6478400000000001,1.0,1.0,0.5361176117611761,0.5142394239423942,0.611,0.55
20_letter,iforest,32,1,shell_box_mix,0.6478400000000001,1.0,1.0,0.5361176117611761,0.5116591659165916,0.6748,0.58
12_fault,ocsvm,27,1,normals_only,0.609072808320951,0.924219910846954,0.924219910846954,0.6698164281210652,0.7791650027368235,0.561040118870728,0.8632986627043091
12_fault,ocsvm,27,1,gaussian_jitter,0.609072808320951,0.924219910846954,0.924219910846954,0.6698164281210652,0.8242804264531463,0.5998157503714711,0.8439821693907875
12_fault,ocsvm,27,1,uniform_box,0.609072808320951,0.924219910846954,0.924219910846954,0.6698164281210652,0.7633588633710987,0.5961248142644873,0.812778603268945
12_fault,ocsvm,27,1,uniform_shell,0.609072808320951,0.924219910846954,0.924219910846954,0.6698164281210652,0.8434263800802089,0.5928707280832095,0.8528974739970282
12_fault,ocsvm,27,1,wide_shell,0.609072808320951,0.924219910846954,0.924219910846954,0.6698164281210652,0.7786565330714718,0.6173016344725112,0.826151560178306
12_fault,ocsvm,27,1,multiscale_shell,0.609072808320951,0.924219910846954,0.924219910846954,0.6698164281210652,0.7994213933297095,0.5649390787518573,0.8573551263001485
12_fault,ocsvm,27,1,shell_box_mix,0.609072808320951,0.924219910846954,0.924219910846954,0.6698164281210652,0.735649825492077,0.5824933135215453,0.826151560178306
