dataset,d,seed,sampler,teacher_auroc,mean_head_fid,min_head_fid,fid_ae,fid_kde,fid_knn,fid_iforest,fused_fid,student_auroc
47_yeast,8,0,normals_only,0.4276045385059071,0.8438747581205431,0.7008326224083852,0.7008326224083852,0.8932132871527536,0.8716369259866127,0.9098161969344211,0.8806956368007595,0.40954651242522877
47_yeast,8,0,uniform_shell,0.4276045385059071,0.8044160754825043,0.6266592021465406,0.6266592021465406,0.8903892308336858,0.8515372322866891,0.8490786366631017,0.8956004296396083,0.41090177192112065
47_yeast,8,0,disagreement_shell,0.4276045385059071,0.6402339399637117,0.5080723168357311,0.5080723168357311,0.7735762433052968,0.6482526899665891,0.63103450974723,0.758440608953833,0.41608079928042174
47_yeast,8,0,shell_box_mix,0.4276045385059071,0.7777141487799792,0.5453586077319477,0.5453586077319477,0.8682087407627715,0.8509657913503953,0.8463234552748021,0.8537830338394137,0.4351310689205923
23_mammography,6,4,normals_only,0.8881015779092702,0.7797176668029938,0.7140692754488035,0.736505175073074,0.7140692754488035,0.9132148541222724,0.7550813625678252,0.8619550367092559,0.8515680473372781
23_mammography,6,4,uniform_shell,0.8881015779092702,0.7918013719627728,0.5598030065197933,0.5598030065197933,0.8978197030349915,0.8020670250311176,0.9075157532651884,0.8751229843706582,0.8517765567765567
23_mammography,6,4,disagreement_shell,0.8881015779092702,0.2475481644689363,0.13057679925878235,0.296689851339975,0.13057679925878235,0.2739193932611734,0.2890066140158144,0.3528738229858046,0.7933643279797127
23_mammography,6,4,shell_box_mix,0.8881015779092702,0.9235023559060153,0.859590596039784,0.859590596039784,0.9706442025457851,0.9373624640435011,0.9264121609949907,0.9630271941401748,0.8444702733164271
23_mammography,6,9,normals_only,0.8782903634826712,0.7263091647850601,0.5718675940535991,0.8854703994286564,0.5789274602165619,0.8689712054414228,0.5718675940535991,0.805076002804829,0.8398062834601296
23_mammography,6,9,uniform_shell,0.8782903634826712,0.7224482578039175,0.4783318778902608,0.4783318778902608,0.9194690489049357,0.595131696545923,0.8968604078745503,0.7248454715464865,0.8130607213299521
23_mammography,6,9,disagreement_shell,0.8782903634826712,0.5396424457725126,-0.0505026228700063,-0.0505026228700063,0.8738762420482628,0.5842626434077989,0.7509335205039953,0.8050930721137338,0.8398344604113834
