dataset,d,seed,teacher_auroc,fid_normals_only,auroc_normals_only,fid_uniform_shell,auroc_uniform_shell,fid_score_shell,auroc_score_shell
41_Waveform,21,0,0.5405149700598803,0.7263126312631263,0.5345389221556885,0.7362016201620162,0.5159760479041916,0.6885088508850885,0.5055688622754491
41_Waveform,21,1,0.5423233532934132,0.09824182418241822,0.5240838323353294,0.5426822682268226,0.5656047904191617,0.501074107410741,0.4883592814371257
41_Waveform,21,2,0.6463353293413174,0.10054605460546054,0.5310179640718563,0.4602100210021001,0.48134131736526936,0.46138613861386135,0.5132095808383234
41_Waveform,21,3,0.5558802395209581,0.5773777377737773,0.539688622754491,0.47457545754575453,0.5073053892215569,0.41096909690969097,0.5194251497005988
41_Waveform,21,4,0.529437125748503,0.705022502250225,0.5184550898203593,0.5981878187818782,0.5171377245508982,0.7082868286828682,0.49183233532934134
20_letter,32,0,0.92844,0.09257403466617034,0.6233599999999999,0.49509436248994515,0.7983600000000001,0.49579645376212644,0.8126800000000001
20_letter,32,1,0.9320999999999999,0.1469674636569479,0.58198,0.3904843860774186,0.7546400000000001,0.4019331995248777,0.6436999999999999
20_letter,32,2,0.93674,0.012986077795826013,0.63256,0.5318290936124236,0.70186,0.451212194763474,0.75626
20_letter,32,3,0.92815,0.061833893534284305,0.56074,0.4420067218712388,0.7414000000000001,0.20861737915623638,0.71858
20_letter,32,4,0.9368,0.28576314933802405,0.58886,0.34875333809091125,0.77064,0.41003930529422994,0.68186
