seed,cond,metric,value
1,S4_mixed,auroc_teacher_far,0.9999760000000001
1,S4_mixed,auroc_student_far,0.997436
1,S4_mixed,rmse_score_far,0.2573449713769178
1,S4_mixed,spearman_far,0.018481904292501745
1,S4_mixed,rmse_score_normals,0.16607810291278385
1,S4_mixed,wall_s,38.859811305999756
1,S5_adaptive,auroc_teacher_boundary,0.982606
1,S5_adaptive,auroc_student_boundary,0.9175719999999998
1,S5_adaptive,rmse_score_boundary,0.14422998708566398
1,S5_adaptive,spearman_boundary,0.73717988722452
1,S5_adaptive,auroc_teacher_close,0.998128
1,S5_adaptive,auroc_student_close,0.972712
1,S5_adaptive,rmse_score_close,0.08895905395785071
1,S5_adaptive,spearman_close,0.38238885869152356
1,S5_adaptive,auroc_teacher_medium,0.999494
1,S5_adaptive,auroc_student_medium,0.987644
1,S5_adaptive,rmse_score_medium,0.08086568102641113
1,S5_adaptive,spearman_medium,-0.12108831727907512
1,S5_adaptive,auroc_teacher_far,0.9999760000000001
1,S5_adaptive,auroc_student_far,0.993776
1,S5_adaptive,rmse_score_far,0.09236263925914326
1,S5_adaptive,spearman_far,0.26782581993092963
1,S5_adaptive,rmse_score_normals,0.1627184448187242
1,S5_adaptive,wall_s,69.44350528717041
2,S0_none,auroc_teacher_boundary,0.982606
2,S0_none,auroc_student_boundary,0.9101959999999999
2,S0_none,rmse_score_boundary,0.211017216500502
2,S0_none,spearman_boundary,0.5219026620410818
2,S0_none,auroc_teacher_close,0.998128
2,S0_none,auroc_student_close,0.95956
2,S0_none,rmse_score_close,0.16741467515217254
2,S0_none,spearman_close,0.19640319032358816
2,S0_none,auroc_teacher_medium,0.999494
2,S0_none,auroc_student_medium,0.972596
2,S0_none,rmse_score_medium,0.18242621180334498
2,S0_none,spearman_medium,-0.01930679489014104
2,S0_none,auroc_teacher_far,0.9999760000000001
2,S0_none,auroc_student_far,0.7192879999999999
2,S0_none,rmse_score_far,0.41318780204040695
2,S0_none,spearman_far,-0.16221529000202745
2,S0_none,rmse_score_normals,0.16204534064296852
2,S0_none,wall_s,1.7871243953704834
2,S1_gaussian,auroc_teacher_boundary,0.982606
2,S1_gaussian,auroc_student_boundary,0.935792
2,S1_gaussian,rmse_score_boundary,0.13321048365828528
2,S1_gaussian,spearman_boundary,0.35826597032071633
2,S1_gaussian,auroc_teacher_close,0.998128
2,S1_gaussian,auroc_student_close,0.972344
2,S1_gaussian,rmse_score_close,0.17297880726740725
2,S1_gaussian,spearman_close,0.34727372047839317
2,S1_gaussian,auroc_teacher_medium,0.999494
2,S1_gaussian,auroc_student_medium,0.9294119999999999
2,S1_gaussian,rmse_score_medium,0.3184310088380921
2,S1_gaussian,spearman_medium,0.558517028902058
2,S1_gaussian,auroc_teacher_far,0.9999760000000001
2,S1_gaussian,auroc_student_far,0.9660839999999999
2,S1_gaussian,rmse_score_far,0.4605072802348634
2,S1_gaussian,spearman_far,0.29607785450287927
2,S1_gaussian,rmse_score_normals,0.12935148015432962
2,S1_gaussian,wall_s,5.145287752151489
